data_source_agency_code,sample_year,species_name,data_type_name,statistical_area_code,pfmc_area_code,mfbds_v_sample.punch_card_area_code,mfbds_v_fish.punch_card_area_code,stock_region,CountOffish_length,CountOffish_weight,CountOfsex_code,CountOfbest_age,CountOfage_structure,age_structure_name
WDFW,2005,Pacific Whiting (Hake),Commercial,,3A,,,"Coastal, WA and Non-WA",300,300,300,0,300,Otolith
WDFW,2005,Petrale Sole,Commercial,12,3B,,,"Coastal, WA ",200,0,200,199,200,Otolith
WDFW,2005,Petrale Sole,Commercial,13,3C,,,"Coastal, WA ",526,0,526,519,526,Otolith
WDFW,2005,Petrale Sole,Commercial,15,3B,,,"Coastal, WA ",100,0,100,100,100,Otolith
WDFW,2005,Petrale Sole,Commercial,16,3A,,,"Coastal, WA ",150,0,150,150,150,Otolith
WDFW,2005,Petrale Sole,Commercial,17,3A,,,"Coastal, WA ",150,0,150,150,150,Otolith
WDFW,2005,Petrale Sole,Commercial,30,3A,,,"U.S. Coastal, Non-WA",50,0,50,50,50,Otolith
WDFW,2005,Quillback Rockfish,Commercial,16,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Redbanded Rockfish,Commercial,12,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2005,Redbanded Rockfish,Commercial,13,3C,,,"Coastal, WA ",37,0,37,0,0,No age structure taken
WDFW,2005,Redbanded Rockfish,Commercial,14,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2005,Redbanded Rockfish,Commercial,16,3A,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2005,Redbanded Rockfish,Commercial,,,,,"Coastal, WA ",22,0,22,0,0,No age structure taken
WDFW,2005,Redbanded Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",35,0,35,0,0,No age structure taken
WDFW,2005,Rosethorn Rockfish,Commercial,14,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2005,Rosethorn Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",6,0,6,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,12,3B,,,"Coastal, WA ",8,0,8,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,13,3C,,,"Coastal, WA ",240,0,240,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,13,3C,,,"Coastal, WA ",559,0,558,0,559,Otolith
WDFW,2005,Rougheye Rockfish,Commercial,14,3B,,,"Coastal, WA ",30,0,30,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,14,3B,,,"Coastal, WA ",30,0,30,0,30,Otolith
WDFW,2005,Rougheye Rockfish,Commercial,15,3B,,,"Coastal, WA ",4,0,4,0,4,Otolith
WDFW,2005,Rougheye Rockfish,Commercial,16,3A,,,"Coastal, WA ",42,0,42,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,16,3A,,,"Coastal, WA ",50,0,50,0,50,Otolith
WDFW,2005,Rougheye Rockfish,Commercial,17,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,,3B,,,"Coastal, WA ",17,0,17,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,,,,,"Coastal, WA ",25,0,25,0,25,Otolith
WDFW,2005,Rougheye Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",188,0,188,0,0,No age structure taken
WDFW,2005,Rougheye Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",163,0,163,0,163,Otolith
WDFW,2005,Sablefish,Commercial,13,3C,,,"Coastal, WA ",34,0,0,0,0,No age structure taken
WDFW,2005,Sablefish,Commercial,16,3A,,,"Coastal, WA ",73,0,0,0,0,No age structure taken
WDFW,2005,Sablefish,Commercial,16,3A,,,"Coastal, WA ",1,0,1,1,1,Otolith
WDFW,2005,Sablefish,Commercial,,,,,"Coastal, WA ",1450,0,25,0,0,No age structure taken
WDFW,2005,Sablefish,Commercial,,,,,"Coastal, WA ",131,0,131,131,131,Otolith
WDFW,2005,Sablefish,Commercial,,,,,"Coastal, WA and Non-WA",535,0,0,0,0,No age structure taken
WDFW,2005,Sablefish,Commercial,,,,,"Coastal, WA and Non-WA",313,0,313,310,313,Otolith
WDFW,2005,Sharpchin Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Sharpchin Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",1,0,1,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,12,3B,,,"Coastal, WA ",7,0,7,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,13,3C,,,"Coastal, WA ",7,0,7,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,13,3C,,,"Coastal, WA ",6,0,6,0,6,Otolith
WDFW,2005,Shortraker Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,14,3B,,,"Coastal, WA ",2,0,2,0,2,Otolith
WDFW,2005,Shortraker Rockfish,Commercial,16,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,16,3A,,,"Coastal, WA ",15,0,15,0,15,Otolith
WDFW,2005,Shortraker Rockfish,Commercial,,,,,"Coastal, WA ",4,0,4,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",10,0,10,0,0,No age structure taken
WDFW,2005,Shortraker Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",7,0,7,0,7,Otolith
WDFW,2005,Shortspine Thornyhead,Commercial,13,3C,,,"Coastal, WA ",206,0,206,0,0,No age structure taken
WDFW,2005,Shortspine Thornyhead,Commercial,15,3B,,,"Coastal, WA ",60,0,60,0,0,No age structure taken
WDFW,2005,Shortspine Thornyhead,Commercial,16,3A,,,"Coastal, WA ",63,0,63,0,0,No age structure taken
WDFW,2005,Shortspine Thornyhead,Commercial,17,3A,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2005,Silvergrey Rockfish,Commercial,13,3C,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2005,Spiny Dogfish,Commercial,12,3B,,,"Coastal, WA ",200,200,200,190,200,Second dorsal spine
WDFW,2005,Splitnose Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Splitnose Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Splitnose Rockfish,Commercial,16,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Splitnose Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",1,0,1,0,0,No age structure taken
WDFW,2005,Walleye Pollock,Commercial,12,3B,,,"Coastal, WA ",100,50,100,100,100,Otolith
WDFW,2005,Walleye Pollock,Commercial,13,3C,,,"Coastal, WA ",100,0,100,99,100,Otolith
WDFW,2005,Widow Rockfish,Commercial,12,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2005,Widow Rockfish,Commercial,13,3C,,,"Coastal, WA ",384,0,384,384,384,Otolith
WDFW,2005,Widow Rockfish,Commercial,17,3A,,,"Coastal, WA ",15,0,15,15,15,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,12,3B,,,"Coastal, WA ",7,7,7,7,7,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,13,3C,,,"Coastal, WA ",17,17,17,17,17,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,17,3A,,,"Coastal, WA ",2,2,2,2,2,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",5,5,5,5,5,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,32,2C,,,"U.S. Coastal, Non-WA",6,6,6,6,6,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,34,2B,,,"U.S. Coastal, Non-WA",22,22,22,21,22,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,36,2A,,,"U.S. Coastal, Non-WA",12,12,12,12,12,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,38,1C,,,"U.S. Coastal, Non-WA",5,5,5,5,5,Otolith
WDFW,2005,Yelloweye Rockfish,Commercial,40,1B,,,"U.S. Coastal, Non-WA",2,2,2,2,2,Otolith
WDFW,2005,Yellowmouth Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Yellowtail Rockfish,Commercial,12,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2005,Yellowtail Rockfish,Commercial,13,3C,,,"Coastal, WA ",684,0,684,682,684,Otolith
WDFW,2005,Yellowtail Rockfish,Commercial,14,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2005,Yellowtail Rockfish,Commercial,15,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2005,Yellowtail Rockfish,Commercial,16,3A,,,"Coastal, WA ",173,0,173,173,173,Otolith
WDFW,2005,Yellowtail Rockfish,Commercial,17,3A,,,"Coastal, WA ",116,0,116,114,116,Otolith
WDFW,2005,Yellowtail Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",50,0,50,50,50,Otolith
WDFW,2006,Arrowtooth Flounder,Commercial,12,3B,,,"Coastal, WA ",400,0,400,0,0,No age structure taken
WDFW,2006,Arrowtooth Flounder,Commercial,13,3C,,,"Coastal, WA ",50,0,50,0,50,Otolith
WDFW,2006,Arrowtooth Flounder,Commercial,14,3B,,,"Coastal, WA ",100,0,100,0,0,No age structure taken
WDFW,2006,Arrowtooth Flounder,Commercial,15,3B,,,"Coastal, WA ",55,0,55,0,0,No age structure taken
WDFW,2006,Aurora Rockfish,Commercial,13,3C,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Aurora Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Aurora Rockfish,Commercial,15,3B,,,"Coastal, WA ",27,0,27,0,0,No age structure taken
WDFW,2006,Big Skate,Commercial,12,3B,,,"Coastal, WA ",119,0,119,0,119,Fin
WDFW,2006,Big Skate,Commercial,12,3B,,,"Coastal, WA ",11,0,11,0,11,Scale
WDFW,2006,Big Skate,Commercial,16,3A,,,"Coastal, WA ",18,0,18,0,0,No age structure taken
WDFW,2006,Big Skate,Commercial,17,3A,,,"Coastal, WA ",42,0,42,0,42,Fin
WDFW,2006,Big Skate,Commercial,17,3A,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Blackgill Rockfish,Commercial,13,3C,,,"Coastal, WA ",7,0,7,0,0,No age structure taken
WDFW,2006,Blackgill Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Blackgill Rockfish,Commercial,,,,,"Coastal, WA ",5,0,5,0,0,No age structure taken
WDFW,2006,Blackgill Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",9,0,9,0,0,No age structure taken
WDFW,2006,Black Rockfish,Commercial,12,3B,,,"Coastal, WA ",19,0,19,19,19,Otolith
WDFW,2006,Black Rockfish,Commercial,15,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Bocaccio,Commercial,13,3C,,,"Coastal, WA ",6,0,6,0,0,No age structure taken
WDFW,2006,Bocaccio,Commercial,14,3B,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Bocaccio,Commercial,16,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Bocaccio,Commercial,,,,,"Coastal, WA ",6,0,6,0,0,No age structure taken
WDFW,2006,Canary Rockfish,Commercial,12,3B,,,"Coastal, WA ",240,0,240,235,240,Otolith
WDFW,2006,Canary Rockfish,Commercial,13,3C,,,"Coastal, WA ",5,0,0,0,0,No age structure taken
WDFW,2006,Canary Rockfish,Commercial,13,3C,,,"Coastal, WA ",340,0,340,334,340,Otolith
WDFW,2006,Canary Rockfish,Commercial,16,3A,,,"Coastal, WA ",3,0,3,3,3,Otolith
WDFW,2006,Canary Rockfish,Commercial,17,3A,,,"Coastal, WA ",22,0,22,22,22,Otolith
WDFW,2006,Canary Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",53,0,53,53,53,Otolith
WDFW,2006,Canary Rockfish,Commercial,,,,,"Coastal, WA ",4,0,0,0,0,No age structure taken
WDFW,2006,Copper Rockfish,Commercial,15,3B,,,"Coastal, WA ",4,0,4,0,0,No age structure taken
WDFW,2006,Darkblotched Rockfish,Commercial,12,3B,,,"Coastal, WA ",57,0,0,0,0,No age structure taken
WDFW,2006,Darkblotched Rockfish,Commercial,12,3B,,,"Coastal, WA ",123,0,123,123,123,Otolith
WDFW,2006,Darkblotched Rockfish,Commercial,13,3C,,,"Coastal, WA ",152,0,102,0,0,No age structure taken
WDFW,2006,Darkblotched Rockfish,Commercial,13,3C,,,"Coastal, WA ",150,0,150,150,150,Otolith
WDFW,2006,Darkblotched Rockfish,Commercial,,,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Darkblotched Rockfish,Commercial,,,,,"Coastal, WA ",21,0,21,21,21,Otolith
WDFW,2006,Dover Sole,Commercial,12,3B,,,"Coastal, WA ",150,0,0,0,0,No age structure taken
WDFW,2006,Dover Sole,Commercial,12,3B,,,"Coastal, WA ",150,0,150,147,150,Otolith
WDFW,2006,Dover Sole,Commercial,13,3C,,,"Coastal, WA ",400,0,200,0,0,No age structure taken
WDFW,2006,Dover Sole,Commercial,13,3C,,,"Coastal, WA ",400,0,400,381,400,Otolith
WDFW,2006,Dover Sole,Commercial,15,3B,,,"Coastal, WA ",50,0,50,45,50,Otolith
WDFW,2006,English Sole,Commercial,12,3B,,,"Coastal, WA ",350,0,317,335,350,Interoperculum
WDFW,2006,English Sole,Commercial,12,3B,,,"Coastal, WA ",350,0,300,0,0,No age structure taken
WDFW,2006,English Sole,Commercial,13,3C,,,"Coastal, WA ",200,0,200,199,200,Interoperculum
WDFW,2006,English Sole,Commercial,13,3C,,,"Coastal, WA ",100,0,100,0,0,No age structure taken
WDFW,2006,English Sole,Commercial,16,3A,,,"Coastal, WA ",187,0,187,182,187,Interoperculum
WDFW,2006,English Sole,Commercial,16,3A,,,"Coastal, WA ",100,0,100,0,0,No age structure taken
WDFW,2006,English Sole,Commercial,17,3A,,,"Coastal, WA ",100,0,100,98,100,Interoperculum
WDFW,2006,English Sole,Commercial,17,3A,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2006,Greenstriped Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Greenstriped Rockfish,Commercial,15,3B,,,"Coastal, WA ",9,0,9,0,0,No age structure taken
WDFW,2006,Greenstriped Rockfish,Commercial,16,3A,,,"Coastal, WA ",77,0,77,0,0,No age structure taken
WDFW,2006,Greenstriped Rockfish,Commercial,17,3A,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2006,Lingcod,Commercial,12,3B,,,"Coastal, WA ",225,0,225,225,225,Fin
WDFW,2006,Lingcod,Commercial,13,3C,,,"Coastal, WA ",25,0,25,24,25,Fin
WDFW,2006,Lingcod,Commercial,15,3B,,,"Coastal, WA ",16,0,16,16,16,Fin
WDFW,2006,Lingcod,Commercial,16,3A,,,"Coastal, WA ",9,0,9,9,9,Fin
WDFW,2006,Lingcod,Commercial,17,3A,,,"Coastal, WA ",105,0,105,105,105,Fin
WDFW,2006,Longnose Skate,Commercial,12,3B,,,"Coastal, WA ",255,0,255,0,255,Fin
WDFW,2006,Longspine Thornyhead,Commercial,13,3C,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2006,Longspine Thornyhead,Commercial,15,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2006,Pacific Cod,Commercial,12,3B,,,"Coastal, WA ",600,0,600,0,0,No age structure taken
WDFW,2006,Pacific Cod,Commercial,13,3C,,,"Coastal, WA ",200,0,200,0,0,No age structure taken
WDFW,2006,Pacific Cod,Commercial,15,3B,,,"Coastal, WA ",94,0,94,0,0,No age structure taken
WDFW,2006,Pacific Cod,Commercial,17,3A,,,"Coastal, WA ",26,0,26,0,0,No age structure taken
WDFW,2006,Pacific Ocean Perch,Commercial,12,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Pacific Ocean Perch,Commercial,12,3B,,,"Coastal, WA ",71,0,71,71,71,Otolith
WDFW,2006,Pacific Ocean Perch,Commercial,13,3C,,,"Coastal, WA ",100,0,50,0,0,No age structure taken
WDFW,2006,Pacific Ocean Perch,Commercial,13,3C,,,"Coastal, WA ",145,0,145,144,145,Otolith
WDFW,2006,Pacific Ocean Perch,Commercial,14,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2006,Pacific Ocean Perch,Commercial,15,3B,,,"Coastal, WA ",69,0,69,0,0,No age structure taken
WDFW,2006,Pacific Ocean Perch,Commercial,17,3A,,,"Coastal, WA ",3,0,3,3,3,Otolith
WDFW,2006,Pacific Ocean Perch,Commercial,,,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Pacific Ocean Perch,Commercial,,,,,"Coastal, WA and Non-WA",1,0,1,0,0,No age structure taken
WDFW,2006,Pacific Sardine,Commercial,13,3C,,,"Coastal, WA ",50,50,50,50,50,Otolith
WDFW,2006,Pacific Sardine,Commercial,15,3B,,,"Coastal, WA ",25,25,25,25,25,Otolith
WDFW,2006,Pacific Sardine,Commercial,16,3A,,,"Coastal, WA ",50,50,50,50,50,Otolith
WDFW,2006,Pacific Sardine,Commercial,17,3A,,,"Coastal, WA ",100,100,100,100,100,Otolith
WDFW,2006,Pacific Sardine,Commercial,30,3A,,,"U.S. Coastal, Non-WA",150,150,150,150,150,Otolith
WDFW,2006,Pacific Whiting (Hake),Commercial,,,,,No Area Data,1515,0,1515,0,0,No age structure taken
WDFW,2006,Pacific Whiting (Hake),Commercial,,,,,No Area Data,300,300,300,0,300,Otolith
WDFW,2006,Petrale Sole,Commercial,12,3B,,,"Coastal, WA ",350,0,350,0,0,No age structure taken
WDFW,2006,Petrale Sole,Commercial,12,3B,,,"Coastal, WA ",400,0,400,398,400,Otolith
WDFW,2006,Petrale Sole,Commercial,13,3C,,,"Coastal, WA ",150,0,150,0,0,No age structure taken
WDFW,2006,Petrale Sole,Commercial,13,3C,,,"Coastal, WA ",200,0,200,198,200,Otolith
WDFW,2006,Petrale Sole,Commercial,16,3A,,,"Coastal, WA ",100,0,100,0,0,No age structure taken
WDFW,2006,Petrale Sole,Commercial,16,3A,,,"Coastal, WA ",150,0,150,148,150,Otolith
WDFW,2006,Petrale Sole,Commercial,17,3A,,,"Coastal, WA ",200,0,200,0,0,No age structure taken
WDFW,2006,Petrale Sole,Commercial,17,3A,,,"Coastal, WA ",150,0,150,150,150,Otolith
WDFW,2006,Quillback Rockfish,Commercial,12,3B,,,"Coastal, WA ",68,0,68,0,0,No age structure taken
WDFW,2006,Quillback Rockfish,Commercial,15,3B,,,"Coastal, WA ",32,0,32,0,0,No age structure taken
WDFW,2006,Quillback Rockfish,Commercial,17,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Quillback Rockfish,Commercial,,,,,No Area Data,4,0,4,0,0,No age structure taken
WDFW,2006,Redbanded Rockfish,Commercial,12,3B,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Redbanded Rockfish,Commercial,13,3C,,,"Coastal, WA ",161,0,161,0,0,No age structure taken
WDFW,2006,Redbanded Rockfish,Commercial,15,3B,,,"Coastal, WA ",43,0,43,0,0,No age structure taken
WDFW,2006,Redbanded Rockfish,Commercial,,,,,"Coastal, WA ",21,0,21,0,0,No age structure taken
WDFW,2006,Redbanded Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",37,0,37,0,0,No age structure taken
WDFW,2006,Redstripe Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Rosethorn Rockfish,Commercial,,,,,"Coastal, WA ",8,0,8,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,12,3B,,,"Coastal, WA ",75,0,75,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,12,3B,,,"Coastal, WA ",25,0,25,0,25,Otolith
WDFW,2006,Rougheye Rockfish,Commercial,13,3C,,,"Coastal, WA ",328,0,328,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,13,3C,,,"Coastal, WA ",328,0,328,0,328,Otolith
WDFW,2006,Rougheye Rockfish,Commercial,14,3B,,,"Coastal, WA ",67,0,67,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,14,3B,,,"Coastal, WA ",89,0,89,0,89,Otolith
WDFW,2006,Rougheye Rockfish,Commercial,15,3B,,,"Coastal, WA ",43,0,43,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,15,3B,,,"Coastal, WA ",116,0,116,0,116,Otolith
WDFW,2006,Rougheye Rockfish,Commercial,17,3A,,,"Coastal, WA ",25,0,25,0,25,Otolith
WDFW,2006,Rougheye Rockfish,Commercial,,,,,"Coastal, WA ",101,0,101,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,,,,,"Coastal, WA ",25,0,25,0,25,Otolith
WDFW,2006,Rougheye Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",211,0,211,0,0,No age structure taken
WDFW,2006,Rougheye Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",202,0,202,0,202,Otolith
WDFW,2006,Sablefish,Commercial,12,3B,,,"Coastal, WA ",33,0,33,33,33,Otolith
WDFW,2006,Sablefish,Commercial,15,3B,,,"Coastal, WA ",19,0,19,19,19,Otolith
WDFW,2006,Sablefish,Commercial,,,,,"Coastal, WA ",1465,0,1,0,0,No age structure taken
WDFW,2006,Sablefish,Commercial,,,,,"Coastal, WA ",1750,0,1735,678,1751,Otolith
WDFW,2006,Sablefish,Commercial,,,,,"Coastal, WA and Non-WA",299,0,0,0,0,No age structure taken
WDFW,2006,Sablefish,Commercial,,,,,"Coastal, WA and Non-WA",601,0,601,560,601,Otolith
WDFW,2006,Sharpchin Rockfish,Commercial,13,3C,,,"Coastal, WA ",9,0,9,0,0,No age structure taken
WDFW,2006,Shortraker Rockfish,Commercial,12,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Shortraker Rockfish,Commercial,12,3B,,,"Coastal, WA ",7,0,7,0,7,Otolith
WDFW,2006,Shortraker Rockfish,Commercial,13,3C,,,"Coastal, WA ",8,0,8,0,0,No age structure taken
WDFW,2006,Shortraker Rockfish,Commercial,13,3C,,,"Coastal, WA ",16,0,16,0,16,Otolith
WDFW,2006,Shortraker Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Shortraker Rockfish,Commercial,14,3B,,,"Coastal, WA ",6,0,6,0,6,Otolith
WDFW,2006,Shortraker Rockfish,Commercial,15,3B,,,"Coastal, WA ",5,0,5,0,5,Otolith
WDFW,2006,Shortraker Rockfish,Commercial,,,,,"Coastal, WA ",1,0,1,0,1,Otolith
WDFW,2006,Shortraker Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",3,0,3,0,0,No age structure taken
WDFW,2006,Shortraker Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",3,0,3,0,3,Otolith
WDFW,2006,Shortspine Thornyhead,Commercial,15,3B,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2006,Shortspine Thornyhead,Commercial,17,3A,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2006,Silvergrey Rockfish,Commercial,13,3C,,,"Coastal, WA ",40,0,40,0,0,No age structure taken
WDFW,2006,Silvergrey Rockfish,Commercial,,,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,13,3C,,,"Coastal, WA ",762,0,712,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,13,3C,,,"Coastal, WA ",172,0,172,170,172,Second dorsal spine
WDFW,2006,Spiny Dogfish,Commercial,15,3B,,,"Coastal, WA ",56,0,56,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,16,3A,,,"Coastal, WA ",125,0,125,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,17,3A,,,"Coastal, WA ",301,0,261,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",13,0,13,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,,,,,"Coastal, WA ",75,0,75,0,0,No age structure taken
WDFW,2006,Spiny Dogfish,Commercial,,,,,"Coastal, WA ",50,0,50,50,50,Second dorsal spine
WDFW,2006,Spiny Dogfish,Commercial,,,,,No Area Data,18,0,18,0,0,No age structure taken
WDFW,2006,Splitnose Rockfish,Commercial,13,3C,,,"Coastal, WA ",54,0,54,0,0,No age structure taken
WDFW,2006,Widow Rockfish,Commercial,12,3B,,,"Coastal, WA ",100,0,0,0,0,No age structure taken
WDFW,2006,Widow Rockfish,Commercial,12,3B,,,"Coastal, WA ",250,0,250,250,250,Otolith
WDFW,2006,Widow Rockfish,Commercial,13,3C,,,"Coastal, WA ",43,0,43,43,43,Otolith
WDFW,2006,Widow Rockfish,Commercial,15,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2006,Widow Rockfish,Commercial,17,3A,,,"Coastal, WA ",124,0,124,124,124,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,12,3B,,,"Coastal, WA ",39,5,39,39,39,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,13,3C,,,"Coastal, WA ",67,32,67,67,68,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,14,3B,,,"Coastal, WA ",2,2,2,2,2,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,15,3B,,,"Coastal, WA ",13,7,13,13,13,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,16,3A,,,"Coastal, WA ",2,2,2,2,2,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,17,3A,,,"Coastal, WA ",1,0,1,1,1,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",11,9,11,10,11,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,32,2C,,,"U.S. Coastal, Non-WA",2,2,2,2,2,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,34,2B,,,"U.S. Coastal, Non-WA",4,2,4,4,4,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,,,,,"Coastal, WA ",1,0,1,1,1,Otolith
WDFW,2006,Yelloweye Rockfish,Commercial,,,,,No Area Data,7,7,7,7,7,Otolith
WDFW,2006,Yellowtail Rockfish,Commercial,12,3B,,,"Coastal, WA ",50,0,0,0,0,No age structure taken
WDFW,2006,Yellowtail Rockfish,Commercial,12,3B,,,"Coastal, WA ",150,0,150,150,150,Otolith
WDFW,2006,Yellowtail Rockfish,Commercial,13,3C,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2006,Yellowtail Rockfish,Commercial,13,3C,,,"Coastal, WA ",217,0,200,200,217,Otolith
WDFW,2006,Yellowtail Rockfish,Commercial,16,3A,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2006,Yellowtail Rockfish,Commercial,16,3A,,,"Coastal, WA ",137,0,137,136,137,Otolith
