"common_name","state","sample_year","positive_sites","sexed_fish","unsexed_fish","lengthed","aged","otoliths","data_type"
"vermilion and sunset rockfish","C",2021,150,2324,1,2325,0,932,"nwfsc_hkl"
"widow rockfish","C",2004,13,56,0,56,0,55,"nwfsc_hkl"
"widow rockfish","C",2005,14,73,2,75,0,74,"nwfsc_hkl"
"widow rockfish","C",2006,15,68,0,68,0,68,"nwfsc_hkl"
"widow rockfish","C",2007,12,43,0,43,0,43,"nwfsc_hkl"
"widow rockfish","C",2008,33,173,1,174,0,173,"nwfsc_hkl"
"widow rockfish","C",2009,14,39,0,39,0,39,"nwfsc_hkl"
"widow rockfish","C",2010,9,15,0,15,0,15,"nwfsc_hkl"
"widow rockfish","C",2011,8,13,0,13,0,13,"nwfsc_hkl"
"widow rockfish","C",2012,3,3,0,3,0,3,"nwfsc_hkl"
"widow rockfish","C",2013,13,16,0,16,0,16,"nwfsc_hkl"
"widow rockfish","C",2014,26,69,0,69,0,70,"nwfsc_hkl"
"widow rockfish","C",2015,12,19,0,19,0,19,"nwfsc_hkl"
"widow rockfish","C",2016,18,39,0,39,0,37,"nwfsc_hkl"
"widow rockfish","C",2017,25,56,0,56,0,50,"nwfsc_hkl"
"widow rockfish","C",2018,25,69,0,69,0,66,"nwfsc_hkl"
"widow rockfish","C",2019,11,21,2,23,0,23,"nwfsc_hkl"
"widow rockfish","C",2021,16,47,1,48,0,47,"nwfsc_hkl"
"yelloweye rockfish","C",2004,1,1,0,1,0,1,"nwfsc_hkl"
"yelloweye rockfish","C",2006,1,1,0,1,0,1,"nwfsc_hkl"
"yelloweye rockfish","C",2007,3,3,0,3,0,3,"nwfsc_hkl"
"yelloweye rockfish","C",2009,2,5,0,5,0,5,"nwfsc_hkl"
"yelloweye rockfish","C",2010,2,2,0,2,0,2,"nwfsc_hkl"
"yelloweye rockfish","C",2012,1,1,0,1,0,1,"nwfsc_hkl"
"yelloweye rockfish","C",2015,7,13,0,13,0,13,"nwfsc_hkl"
"yelloweye rockfish","C",2016,7,15,0,15,0,10,"nwfsc_hkl"
"yelloweye rockfish","C",2017,7,15,0,15,0,15,"nwfsc_hkl"
"yelloweye rockfish","C",2018,8,13,0,13,0,13,"nwfsc_hkl"
"yelloweye rockfish","C",2019,11,17,0,17,0,16,"nwfsc_hkl"
"yelloweye rockfish","C",2021,13,24,0,24,0,23,"nwfsc_hkl"
"yellowtail rockfish","C",2004,14,126,0,126,124,0,"nwfsc_hkl"
"yellowtail rockfish","C",2005,14,107,15,122,0,122,"nwfsc_hkl"
"yellowtail rockfish","C",2006,6,88,0,88,0,88,"nwfsc_hkl"
"yellowtail rockfish","C",2007,18,119,0,119,0,119,"nwfsc_hkl"
"yellowtail rockfish","C",2008,15,139,0,139,0,139,"nwfsc_hkl"
"yellowtail rockfish","C",2009,16,79,1,80,0,80,"nwfsc_hkl"
"yellowtail rockfish","C",2010,12,60,0,60,0,0,"nwfsc_hkl"
"yellowtail rockfish","C",2011,13,78,48,126,0,1,"nwfsc_hkl"
"yellowtail rockfish","C",2012,11,106,0,106,0,106,"nwfsc_hkl"
"yellowtail rockfish","C",2013,13,93,3,96,0,95,"nwfsc_hkl"
"yellowtail rockfish","C",2014,17,105,5,110,0,110,"nwfsc_hkl"
"yellowtail rockfish","C",2015,13,78,0,78,0,78,"nwfsc_hkl"
"yellowtail rockfish","C",2016,14,87,2,89,0,87,"nwfsc_hkl"
"yellowtail rockfish","C",2017,12,46,0,46,0,40,"nwfsc_hkl"
"yellowtail rockfish","C",2018,12,76,1,77,0,66,"nwfsc_hkl"
"yellowtail rockfish","C",2019,13,67,2,69,0,61,"nwfsc_hkl"
"yellowtail rockfish","C",2021,11,92,0,92,0,91,"nwfsc_hkl"
